Generation,cores,pop,GenerationFitness,GenerationTime
11,1,30,28,1,
12,1,30,28,15,
13,1,30,28,12,
14,1,30,28,1,
15,1,30,28,1,
16,1,30,28,1,
17,1,30,44,1,
18,1,30,72,1,
19,1,30,79,2,
20,1,30,96,2,
21,1,30,113,12,
22,1,30,113,22,
23,1,30,114,33,
24,1,30,158,4,
25,1,30,185,5,
26,1,30,228,6,
27,1,30,246,6,
28,1,30,270,8,
29,1,30,312,8,
30,1,30,312,9,
1,1,50,13,14,
2,1,50,22,10,
3,1,50,79,3,
4,1,50,108,4,
5,1,50,172,6,
6,1,50,172,7,
7,1,50,304,9,
8,1,50,348,10,
9,1,50,563,14,
10,1,50,594,17,
11,1,50,1026,27,
12,1,50,1026,40,
13,1,50,1118,39,
14,1,50,2234,49,
15,1,50,2234,62,
16,1,50,3355,99,
17,1,50,3500,114,
18,1,50,3978,120,
19,1,50,4914,147,
20,1,50,4914,157,
21,1,50,5118,171,
22,1,50,5118,164,
23,1,50,5118,160,
24,1,50,5118,170,
25,1,50,5806,205,
26,1,50,6062,194,
27,1,50,6062,200,
28,1,50,6062,197,
29,1,50,6062,177,
30,1,50,6183,177,
1,1,50,51,14,
2,1,50,77,6,
3,1,50,113,5,
4,1,50,115,6,
5,1,50,293,7,
6,1,50,461,10,
7,1,50,3371,20,
8,1,50,3371,39,
9,1,50,4927,109,
10,1,50,5446,160,
11,1,50,10780,207,
12,1,50,12606,269,
13,1,50,23291,624,
14,1,50,23291,829,
15,1,50,23291,812,
16,1,50,23291,902,
17,1,50,27161,967,
18,1,50,27161,897,
19,1,50,27161,879,
20,1,50,35226,932,
21,1,50,35226,851,
22,1,50,35226,1086,
23,1,50,35226,914,
24,1,50,35226,872,
25,1,50,35226,840,
26,1,50,35226,964,
27,1,50,35226,807,
28,1,50,35226,850,
29,1,50,35226,1033,
30,1,50,35226,790,
1,1,50,6,15,
2,1,50,10,8,
3,1,50,14,2,
4,1,50,21,3,
5,1,50,55,2,
6,1,50,78,3,
7,1,50,127,6,
8,1,50,351,7,
9,1,50,386,12,
10,1,50,1476,22,
11,1,50,7129,46,
12,1,50,7747,80,
13,1,50,9622,255,
14,1,50,10470,337,
15,1,50,12092,343,
16,1,50,12092,375,
17,1,50,12092,395,
18,1,50,13402,435,
19,1,50,13402,488,
20,1,50,18139,470,
21,1,50,18139,560,
22,1,50,18139,605,
23,1,50,19686,651,
24,1,50,19686,540,
25,1,50,19686,665,
26,1,50,19686,682,
27,1,50,19686,694,
28,1,50,19686,755,
29,1,50,34534,749,
30,1,50,34534,903,
1,1,50,18,12,
2,1,50,228,5,
3,1,50,244,6,
4,1,50,1919,14,
5,1,50,2465,26,
6,1,50,6028,82,
7,1,50,6028,134,
8,1,50,8402,236,
9,1,50,8402,256,
10,1,50,9427,271,
11,1,50,14428,291,
12,1,50,27240,481,
13,1,50,30337,758,
14,1,50,30359,914,
15,1,50,37542,970,
16,1,50,38296,1022,
17,1,50,39168,1052,
18,1,50,49310,1471,
19,1,50,50539,1434,
20,1,50,51613,1534,
21,1,50,55050,1623,
22,1,50,55050,1501,
23,1,50,55050,1629,
24,1,50,55050,1710,
25,1,50,55050,1646,
26,1,50,63581,1720,
27,1,50,65222,1567,
28,1,50,65222,1708,
29,1,50,73070,1667,
30,1,50,73070,1835,
1,1,50,14,13,
2,1,50,35,9,
3,1,50,35,4,
4,1,50,53,2,
5,1,50,79,3,
6,1,50,100,5,
7,1,50,137,5,
8,1,50,201,8,
9,1,50,225,9,
10,1,50,371,13,
11,1,50,564,17,
12,1,50,1282,26,
13,1,50,2189,39,
14,1,50,3933,71,
15,1,50,5113,128,
16,1,50,5113,164,
