Fitness,Time,Weight1,Weight2,Weight3,Weight4,Weight5,Weight6,Weight7,Weight8,Weight9,Weight10,Weight11,Weight12,Weight13,Weight14
23072,246,15.164509673705039,-23.39615741529087,-11.18299489916316,0.7710062325277807,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-7.2353336150641425,-6.867191287806514,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-4.752396141665363,-1.8382813018157886,
24046,307,15.164509673705039,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-7.2353336150641425,-6.867191287806514,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-4.752396141665363,-1.8382813018157886,
24931,233,15.164509673705039,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-7.2353336150641425,-6.867191287806514,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-3.9319388005998657,-1.8382813018157886,
36297,343,15.164509673705039,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-7.2353336150641425,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-3.9319388005998657,-1.8382813018157886,
36297,328,15.164509673705039,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-7.2353336150641425,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-3.9319388005998657,-1.8382813018157886,
36297,304,15.164509673705039,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-7.2353336150641425,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-3.9319388005998657,-1.8382813018157886,
36297,366,15.164509673705039,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-7.2353336150641425,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-3.9319388005998657,-1.8382813018157886,
51186,377,15.164509673705039,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.472282846859972,-2.9786543181746685,-7.2353336150641425,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-3.9319388005998657,-7.470464919777575,
51186,447,15.164509673705039,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.472282846859972,-2.9786543181746685,-7.2353336150641425,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-4.019585208079086,-3.9319388005998657,-7.470464919777575,
53147,567,15.164509673705039,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-3.9805481053797283,-3.2496832653234637,-4.019585208079086,-3.9319388005998657,-7.470464919777575,
69476,672,-17.438601079728823,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.472282846859972,-2.9786543181746685,-7.2353336150641425,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-6.490528315881255,-3.9319388005998657,-7.470464919777575,
69476,680,-17.438601079728823,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.472282846859972,-2.9786543181746685,-7.2353336150641425,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-6.490528315881255,-3.9319388005998657,-7.470464919777575,
69476,652,-17.438601079728823,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.472282846859972,-2.9786543181746685,-7.2353336150641425,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-6.490528315881255,-3.9319388005998657,-7.470464919777575,
